,school_name,school_code,f_teacher_count,m_teacher_count,year,percent_male
738,Hingham - Plymouth River,1310019,34.6,1.3,9.0,0.036211699164345405
739,Hingham - South Elem,1310020,35.2,1.3,9.0,0.03561643835616438
740,Hingham - Wm L Foster Elem,1310010,31.6,3.3,9.0,0.09455587392550144
745,Holliston - Holliston High,1360505,37.1,28.0,9.0,0.4301075268817205
746,Holliston - Miller School,1360007,37.0,6.1,9.0,0.14153132250580044
748,Holliston - Robert H. Adams Middle School,1360305,30.9,10.9,9.0,0.2607655502392345
751,Holyoke - Holyoke High,1370505,47.7,37.7,9.0,0.4414519906323185
759,Holyoke - Wm J Dean Voc Tech High,1370605,21.3,41.3,9.0,0.6597444089456869
761,Hopedale - Hopedale Jr Sr High,1380505,29.0,9.4,9.0,0.24479166666666669
762,Hopedale - Memorial,1380010,33.5,4.0,9.0,0.10666666666666667
766,Hopkinton - Hopkins Elementary School,1390015,26.3,2.8,9.0,0.09621993127147765
767,Hopkinton - Hopkinton High,1390505,35.3,29.4,9.0,0.4544049459041732
768,Hopkinton - Hopkinton Middle School,1390305,37.4,14.4,9.0,0.277992277992278
770,Hudson - C A Farley,1410030,33.5,3.0,9.0,0.0821917808219178
772,Hudson - Forest Avenue Elementary,1410015,28.1,2.0,9.0,0.06644518272425248
773,Hudson - Hudson High,1410505,58.5,17.3,9.0,0.2282321899736148
774,Hudson - John F Kennedy,1410410,27.5,6.8,9.0,0.19825072886297376
775,Hudson - Mulready Elementary,1410007,20.9,2.0,9.0,0.08733624454148473
776,Hull - Hull High,1420505,15.0,14.0,9.0,0.4827586206896552
780,Ipswich - Ipswich High,1440505,30.6,18.8,9.0,0.3805668016194332
781,Ipswich - Ipswich Middle School,1440305,25.3,11.2,9.0,0.3068493150684931
782,Ipswich - Paul F Doyon Memorial,1440007,26.9,1.0,9.0,0.03584229390681004
783,Ipswich - Winthrop,1440015,24.8,5.6,9.0,0.18421052631578946
786,King Philip - King Philip Reg High,6900505,49.1,26.8,9.0,0.3530961791831357
795,Lawrence - Business Management & Finance High School,1490530,10.2,12.0,9.0,0.5405405405405406
802,Lawrence - Health & Human Services High School,1490531,15.0,10.8,9.0,0.4186046511627907
805,Lawrence - Humanities & Leadership Development High School,1490532,11.0,13.0,9.0,0.5416666666666666
806,Lawrence - International High School,1490534,16.8,11.0,9.0,0.39568345323741005
812,"Lawrence - Math, Science & Technology High School",1490533,13.0,11.8,9.0,0.47580645161290325
814,Lawrence - Performing & Fine Arts High School,1490535,15.4,10.0,9.0,0.3937007874015748
820,Lawrence Family Development Charter (District) - Lawrence Family Development Charter School,4540205,43.0,8.0,9.0,0.1568627450980392
821,Lee - Lee Elementary,1500025,30.0,0.0,9.0,0.0
822,Lee - Lee Middle/High School,1500505,22.4,15.8,9.0,0.41361256544502617
823,Leicester - Leicester High,1510505,23.3,13.0,9.0,0.3581267217630854
827,Lenox - Lenox Memorial High,1520505,24.8,13.6,9.0,0.3541666666666667
828,Lenox - Morris,1520015,23.9,0.0,9.0,0.0
833,Leominster - Leominster Senior High,1530505,52.7,26.6,9.0,0.3354350567465321
841,Lexington - Bowman,1550008,30.7,3.4,9.0,0.09970674486803519
842,Lexington - Bridge,1550006,21.7,7.1,9.0,0.2465277777777778
843,Lexington - Fiske,1550015,25.7,5.7,9.0,0.18152866242038218
844,Lexington - Harrington,1550030,27.6,3.0,9.0,0.09803921568627451
845,Lexington - Jonas Clarke Middle,1550305,37.9,23.2,9.0,0.37970540098199673
846,Lexington - Joseph Estabrook,1550010,26.6,1.4,9.0,0.049999999999999996
847,Lexington - Lexington High,1550505,87.5,52.6,9.0,0.3754461099214847
848,Lexington - Maria Hastings,1550035,24.5,1.4,9.0,0.05405405405405406
849,Lexington - Wm Diamond Middle,1550310,42.2,17.6,9.0,0.29431438127090304
